Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Mimic Vat	som	175	A	3	3	Artifact			R	Imprint - Whenever a nontoken creature is put into a graveyard from the battlefield, you may exile that card. If you do, return each other card exiled with Mimic Vat to its owner's graveyard. {3}, {T}: Put a token onto the battlefield that's a copy of the exiled card. It gains haste. Exile it at the beginning of the next end step.
Mindslaver	som	176	A	6	6	Legendary Artifact			M	{4}, {T}, Sacrifice Mindslaver: You control target player during that player's next turn. (You see all cards that player could see and make all decisions for the player.)
Molten-Tail Masticore	som	177	A	4	4	Artifact Creature - Masticore	4	4	M	At the beginning of your upkeep, sacrifice Molten-Tail Masticore unless you discard a card. {4}, Exile a creature card from your graveyard: Molten-Tail Masticore deals 4 damage to target creature or player. {2}: Regenerate Molten-Tail Masticore.
Moriok Replica	som	178	A	3	3	Artifact Creature - Warrior	2	2	C	{1}{B}, Sacrifice Moriok Replica: You draw two cards and lose 2 life.
Mox Opal	som	179	A	0	0	Legendary Artifact			M	Metalcraft - {T}: Add one mana of any color to your mana pool. Activate this ability only if you control three or more artifacts.
Myr Battlesphere	som	180	A	7	7	Artifact Creature - Myr Construct	4	7	R	When Myr Battlesphere enters the battlefield, put four 1/1 colorless Myr artifact creature tokens onto the battlefield. Whenever Myr Battlesphere attacks, you may tap X untapped Myr you control. If you do, Myr Battlesphere gets +X/+0 until end of turn and deals X damage to defending player.
Myr Galvanizer	som	181	A	3	3	Artifact Creature - Myr	2	2	U	Other Myr creatures you control get +1/+1. {1}, {T}: Untap each other Myr you control.
Myr Propagator	som	182	A	3	3	Artifact Creature - Myr	1	1	R	{3}, {T}: Put a token that's a copy of Myr Propagator onto the battlefield.
Myr Reservoir	som	183	A	3	3	Artifact			R	{T}: Add {2} to your mana pool. Spend this mana only to cast Myr spells or activate abilities of Myr. {3}, {T}: Return target Myr card from your graveyard to your hand.
Necrogen Censer	som	184	A	3	3	Artifact			C	Necrogen Censer enters the battlefield with two charge counters on it. {T}, Remove a charge counter from Necrogen Censer: Target player loses 2 life.
Necropede	som	185	A	2	2	Artifact Creature - Insect	1	1	U	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) When Necropede is put into a graveyard from the battlefield, you may put a -1/-1 counter on target creature.
Neurok Replica	som	186	A	3	3	Artifact Creature - Wizard	1	4	C	{1}{U}, Sacrifice Neurok Replica: Return target creature to its owner's hand.
Nihil Spellbomb	som	187	A	1	1	Artifact			C	{T}, Sacrifice Nihil Spellbomb: Exile all cards from target player's graveyard. When Nihil Spellbomb is put into a graveyard from the battlefield, you may pay {B}. If you do, draw a card.
Nim Deathmantle	som	188	A	2	2	Artifact - Equipment			R	Equipped creature gets +2/+2, has intimidate, and is a black Zombie. Whenever a nontoken creature is put into your graveyard from the battlefield, you may pay {4}. If you do, return that card to the battlefield and attach Nim Deathmantle to it. Equip {4}
Origin Spellbomb	som	189	A	1	1	Artifact			C	{1}, {T}, Sacrifice Origin Spellbomb: Put a 1/1 colorless Myr artifact creature token onto the battlefield. When Origin Spellbomb is put into a graveyard from the battlefield, you may pay {W}. If you do, draw a card.
Palladium Myr	som	190	A	3	3	Artifact Creature - Myr	2	2	U	{T}: Add {2} to your mana pool.
Panic Spellbomb	som	191	A	1	1	Artifact			C	{T}, Sacrifice Panic Spellbomb: Target creature can't block this turn. When Panic Spellbomb is put into a graveyard from the battlefield, you may pay {R}. If you do, draw a card.
Perilous Myr	som	192	A	2	2	Artifact Creature - Myr	1	1	C	When Perilous Myr is put into a graveyard from the battlefield, it deals 2 damage to target creature or player.
Platinum Emperion	som	193	A	8	8	Artifact Creature - Golem	8	8	M	Your life total can't change. (You can't gain or lose life. You can't pay any amount of life except 0.)
Precursor Golem	som	194	A	5	5	Artifact Creature - Golem	3	3	R	When Precursor Golem enters the battlefield, put two 3/3 colorless Golem artifact creature tokens onto the battlefield. Whenever a player casts an instant or sorcery spell that targets only a single Golem, that player copies that spell for each other Golem that spell could target. Each copy targets a different one of those Golems.
Prototype Portal	som	195	A	4	4	Artifact			R	Imprint - When Prototype Portal enters the battlefield, you may exile an artifact card from your hand. {X}, {T}: Put a token that's a copy of the exiled card onto the battlefield. X is the converted mana cost of that card.
Ratchet Bomb	som	196	A	2	2	Artifact			R	{T}: Put a charge counter on Ratchet Bomb. {T}, Sacrifice Ratchet Bomb: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Ratchet Bomb.
Razorfield Thresher	som	197	A	7	7	Artifact Creature - Construct	6	4	C	
Rust Tick	som	198	A	3	3	Artifact Creature - Insect	1	3	U	You may choose not to untap Rust Tick during your untap step. {1}, {T}: Tap target artifact. It doesn't untap during its controller's untap step for as long as Rust Tick remains tapped.
Rusted Relic	som	199	A	4	4	Artifact			U	Metalcraft - Rusted Relic is a 5/5 Golem artifact creature as long as you control three or more artifacts.
Saberclaw Golem	som	200	A	4	2	Artifact Creature - Golem	4	2	C	{R}: Saberclaw Golem gains first strike until end of turn.
Semblance Anvil	som	201	A	3	3	Artifact			R	Imprint - When Semblance Anvil enters the battlefield, you may exile a nonland card from your hand. Spells you cast that share a card type with the exiled card cost {2} less to cast.
Silver Myr	som	202	A	2	2	Artifact Creature - Myr	1	1	C	{T}: Add {U} to your mana pool.
Snapsail Glider	som	203	A	3	3	Artifact Creature - Construct	2	2	C	Metalcraft - Snapsail Glider has flying as long as you control three or more artifacts.
Soliton	som	204	A	5	5	Artifact Creature - Construct	3	4	C	{U}: Untap Soliton.
Steel Hellkite	som	205	A	6	6	Artifact Creature - Dragon	5	5	R	Flying {2}: Steel Hellkite gets +1/+0 until end of turn. {X}: Destroy each nonland permanent with converted mana cost X whose controller was dealt combat damage by Steel Hellkite this turn. Activate this ability only once each turn.
Strata Scythe	som	206	A	3	3	Artifact - Equipment			R	Imprint - When Strata Scythe enters the battlefield, search your library for a land card, exile it, then shuffle your library. Equipped creature gets +1/+1 for each land on the battlefield with the same name as the exiled card. Equip {3}
Strider Harness	som	207	A	3	3	Artifact - Equipment			C	Equipped creature gets +1/+1 and has haste. Equip {1}
Sword of Body and Mind	som	208	A	3	3	Artifact - Equipment			M	Equipped creature gets +2/+2 and has protection from green and from blue. Whenever equipped creature deals combat damage to a player, you put a 2/2 green Wolf creature token onto the battlefield and that player puts the top ten cards of his or her library into his or her graveyard. Equip {2}
Sylvok Lifestaff	som	209	A	1	1	Artifact - Equipment			C	Equipped creature gets +1/+0. Whenever equipped creature is put into a graveyard, you gain 3 life. Equip {1}
Sylvok Replica	som	210	A	3	3	Artifact Creature - Shaman	1	3	C	{G}, Sacrifice Sylvok Replica: Destroy target artifact or enchantment.
Throne of Geth	som	211	A	2	2	Artifact			U	{T}, Sacrifice an artifact: Proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)
Tower of Calamities	som	212	A	4	4	Artifact			R	{8}, {T}: Tower of Calamities deals 12 damage to target creature.
Trigon of Corruption	som	213	A	4	4	Artifact			U	Trigon of Corruption enters the battlefield with three charge counters on it. {B}{B}, {T}: Put a charge counter on Trigon of Corruption. {2}, {T}, Remove a charge counter from Trigon of Corruption: Put a -1/-1 counter on target creature.
Trigon of Infestation	som	214	A	4	4	Artifact			U	Trigon of Infestation enters the battlefield with three charge counters on it. {G}{G}, {T}: Put a charge counter on Trigon of Infestation. {2}, {T}, Remove a charge counter from Trigon of Infestation: Put a 1/1 green Insect creature token with infect onto the battlefield.
Trigon of Mending	som	215	A	2	2	Artifact			U	Trigon of Mending enters the battlefield with three charge counters on it. {W}{W}, {T}: Put a charge counter on Trigon of Mending. {2}, {T}, Remove a charge counter from Trigon of Mending: Target player gains 3 life.
Trigon of Rage	som	216	A	2	2	Artifact			U	Trigon of Rage enters the battlefield with three charge counters on it. {R}{R}, {T}: Put a charge counter on Trigon of Rage. {2}, {T}, Remove a charge counter from Trigon of Rage: Target creature gets +3/+0 until end of turn.
Trigon of Thought	som	217	A	5	5	Artifact			U	Trigon of Thought enters the battlefield with three charge counters on it. {U}{U}, {T}: Put a charge counter on Trigon of Thought. {2}, {T}, Remove a charge counter from Trigon of Thought: Draw a card.
Tumble Magnet	som	218	A	3	3	Artifact			C	Tumble Magnet enters the battlefield with three charge counters on it. {T}, Remove a charge counter from Tumble Magnet: Tap target artifact or creature.
Vector Asp	som	219	A	1	1	Artifact			C	{B}: Vector Asp gains infect until end of turn. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Venser's Journal	som	220	A	5	5	Artifact			R	You have no maximum hand size. At the beginning of your upkeep, you gain 1 life for each card in your hand.
Vulshok Replica	som	221	A	3	3	Artifact Creature - Berserker	3	1	C	{1}{R}, Sacrifice Vulshok Replica: Vulshok Replica deals 3 damage to target player.
Wall of Tanglecord	som	222	A	2	2	Artifact Creature - Wall	0	6	C	Defender {G}: Wall of Tanglecord gains reach until end of turn. (It can block creatures with flying.)
Wurmcoil Engine	som	223	A	6	6	Artifact Creature - Wurm	6	6	M	Deathtouch, lifelink When Wurmcoil Engine is put into a graveyard from the battlefield, put a 3/3 colorless Wurm artifact creature token with deathtouch and a 3/3 colorless Wurm artifact creature token with lifelink onto the battlefield.
Blackcleave Cliffs	som	224	L		0	Land			R	Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands. {T}: Add {B} or {R} to your mana pool.
Copperline Gorge	som	225	L		0	Land			R	Copperline Gorge enters the battlefield tapped unless you control two or fewer other lands. {T}: Add {R} or {G} to your mana pool.
Darkslick Shores	som	226	L		0	Land			R	Darkslick Shores enters the battlefield tapped unless you control two or fewer other lands. {T}: Add {U} or {B} to your mana pool.
Glimmerpost	som	227	L		0	Land - Locus			C	When Glimmerpost enters the battlefield, you gain 1 life for each Locus on the battlefield. {T}: Add {1} to your mana pool.
Razorverge Thicket	som	228	L		0	Land			R	Razorverge Thicket enters the battlefield tapped unless you control two or fewer other lands. {T}: Add {G} or {W} to your mana pool.
Seachrome Coast	som	229	L		0	Land			R	Seachrome Coast enters the battlefield tapped unless you control two or fewer other lands. {T}: Add {W} or {U} to your mana pool.
Plains	som	230	L		0	Basic Land - Plains			L	W
Island	som	234	L		0	Basic Land - Island			L	U
Swamp	som	238	L		0	Basic Land - Swamp			L	B
Mountain	som	242	L		0	Basic Land - Mountain			L	R
Forest	som	246	L		0	Basic Land - Forest			L	G
